gtyp_HBW.Rack_History[0$2].History[19].i_code,gtyp_HBW.Rack_History[1$0].History[0].i_code,gtyp_HBW.Rack_History[1$0].History[1].i_code,gtyp_HBW.Rack_History[1$0].History[2].i_code,gtyp_HBW.Rack_History[1$0].History[3].i_code,gtyp_HBW.Rack_History[1$0].History[4].i_code,gtyp_HBW.Rack_History[1$0].History[5].i_code,gtyp_HBW.Rack_History[1$0].History[6].i_code,gtyp_HBW.Rack_History[1$0].History[7].i_code,gtyp_HBW.Rack_History[1$0].History[8].i_code,gtyp_HBW.Rack_History[1$0].History[9].i_code,gtyp_HBW.Rack_History[1$0].History[10].i_code,gtyp_HBW.Rack_History[1$0].History[11].i_code,gtyp_HBW.Rack_History[1$0].History[12].i_code,gtyp_HBW.Rack_History[1$0].History[13].i_code,gtyp_HBW.Rack_History[1$0].History[14].i_code,gtyp_HBW.Rack_History[1$0].History[15].i_code,gtyp_HBW.Rack_History[1$0].History[16].i_code,gtyp_HBW.Rack_History[1$0].History[17].i_code,gtyp_HBW.Rack_History[1$0].History[18].i_code,QX_VGR_ValveVacuum_Q8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,100,200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
